Артикул,Номенклатура,Цена
,ПОЛИКЛИНИКА,
,ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЕ ПРОЦЕДУРЫ,
,ЛЕЧЕНИЕ ГИПЕРГИДРОЗА,
А11.01.003.005,A11.01.003 Внутрикожное введение лекарственных препаратов («Диспорт» 1ЕД),130.00
А11.01.003.006,A11.01.003 Внутрикожное введение лекарственных препаратов («Диспорт» 300 ЕД),"30,000.00"
А11.01.003.007,A11.01.003 Внутрикожное введение лекарственных препаратов («Диспорт» 500 ЕД),"50,000.00"
А11.01.003.38,А11.01.003 Внутрикожное введение лекарственных препаратов (Diprospan),"1,500.00"
,МАССАЖ ПОЛИКЛИНИКА,
А21.01.001.9,А21.01.001 Общий массаж медицинский - Лечебно-локальный массаж (10-30 мин)Дети от 0 до 1 года,800.00
А21.01.001.11,А21.01.001 Общий массаж медицинский(60 мин),"1,800.00"
А21.01.001.12,А21.01.001 Общий массаж медицинский(90 мин),"2,300.00"
А21.01.001.1,"А21.01.001 Общий массаж медицинский(антицеллюлитный локальный массаж), 30-40мин","1,500.00"
А21.01.001.2,"А21.01.001 Общий массаж медицинский(антицеллюлитный общий массаж), 60 мин","2,000.00"
А21.01.001.3,"А21.01.001 Общий массаж медицинский(антицеллюлитный общий массаж), 90 мин","2,300.00"
А21.01.001.4,А21.01.001 Общий массаж медицинский(лимфодренажный локальный массаж),"1,000.00"
А21.01.003,"А21.01.003 Массаж шеи медицинский(шейно-воротниковая зона), 30 мин","1,000.00"
А21.03.007,"А21.03.007 Массаж спины медицинский, 40 мин.","1,200.00"
А21.03.008,Антицеллюлитный общий массаж  (60м),"2,100.00"
А21.03.009,Ручная пластика тела (массаж по коррекции фигуры),"10,000.00"
,УЛЬТРАЗВУКОВОЕ ИССЛЕДОВАНИЕ,
,УЗИ СИРОТИНА ОЛЬГА БОРИСОВНА,
Эл,+ Эластография компрессионная 1 органа,"1,000.00"
А04.12.014с,Дуплексное исследование сосудов гепатобилиарной зоны (нижняя полая вена),"1,700.00"
А04.12.014,Дуплексное исследование сосудов гепатобилиарной зоны (системы портальной вены),"1,900.00"
А04.12.003.001с,Дуплексное сканирование брюшной  аорты и ее висцеральных ветвей,"2,700.00"
А04.30.001с,Определение срока беременности (до 10 недель),"1,300.00"
А11.03.002,Тонкоигольная аспирационная пункционная биопсия лимфатического узла под УЗ-контролем,"2,500.00"
А11.20.010,Тонкоигольная аспирационная пункционная биопсия молочной железы под УЗ-контролем,"2,500.00"
А11.22.001,Тонкоигольная аспирационная пункционная биопсия щитовидной железы под УЗ-контролем,"2,500.00"
А04.28.001..с ,УЗИ артерий почек,"2,800.00"
А04.06.003с,УЗИ вилочковой железы,"1,500.00"
А04.26.006с,УЗИ глаза и орбиты с кровотоком,"2,200.00"
А04.26.006,"УЗИ глаза, орбиты периорбитального ретробульбарного пространства","2,000.00"
А04.09.002,УЗИ легких и плевральных полостей,"2,000.00"
А04.06.002с,УЗИ лимфатических узлов (одна анатомическая зона),"1,000.00"
А04.01.001.с,УЗИ лицевых структур (до и после косметологических и платических вмешательств на лице),"2,000.00"
А04.20.002.с,УЗИ молочных (грудных) желез у детей (до 14 лет),"1,500.00"
А04.20.002с,УЗИ молочных желез с оценкой регионарных зон лифотока,"1,900.00"
А04.21.001с,УЗИ мочевого пузыря и предстательной железы (абдоминально),"2,000.00"
А04.21.001..с,УЗИ мочевого пузыря и предстательной железы (абдоминально+трансректально),"3,000.00"
А04.21.001.с,УЗИ мочевого пузыря и предстательной железы (трансректально),"2,500.00"
А04.28.002.005,УЗИ мочевого пузыря с определением остаточной мочи,"1,000.00"
А04.01.001с,УЗИ мягких тканей с оценкой кровотока,"1,000.00"
А04.22.002,УЗИ надпочечников,"1,000.00"
А04.16.001с,"УЗИ органов брюшной полости (печень, поджелудочная железа, селезёнка, желчный пузырь, лимфоузлы)","2,000.00"
А04.30.010с,УЗИ органов малого таза,"2,000.00"
А04.30.010..с,УЗИ органов малого таза с исследованием ЦДК,"2,500.00"
А04.30.010.с,"УЗИ органов малого таза, исследование ""окна имплантации""","2,700.00"
А04.28.003с,УЗИ органов мошонки с кровотоком,"2,500.00"
А04.22.003с,УЗИ паращитовидных желез,"1,600.00"
А04.30.006,УЗИ передней брюшной стенки,"1,000.00"
А04.15.001с,УЗИ поджелудочной железы,"1,450.00"
А04.28.001с,УЗИ почек,"1,400.00"
А04.28.001.с,УЗИ почек с кровотоком,"2,500.00"
А04.07.002с,УЗИ слюнных желез с оценкой регионарных зон лифотока,"2,000.00"
А04.22.001с,УЗИ щитовидной железы с оценкой регионарных зон лифотока,"1,500.00"
А04.20.003с,Фолликулометрия,"1,200.00"
А04.16.001.001,Эластография печени сдвиговой волной с определением степения фиброза,"2,500.00"
А04.14.002с,Эхохолецистография,"2,000.00"
,УЛЬТРАЗВУКОВОЕ ИССЛЕДОВАНИЕ В АКУШЕРСТВЕ,
А04.30.001.007,A04.30.001 Ультразвуковое исследование плода (Определение пола ребенка),"1,000.00"
